,full_bandwidth_rms,bandpassed_rms,bandpassed_crest_factor,1500_to_max_rms,pitch_frequency,hps_sparsity,pitch_strength,pitch_frequency_lookback_1,hps_sparsity_lookback_1,pitch_strength_lookback_1,pitch_frequency_lookback_2,hps_sparsity_lookback_2,pitch_strength_lookback_2,pitch_frequency_lookback_3,hps_sparsity_lookback_3,pitch_strength_lookback_3,label
1377,0.03621573,0.029415145581158413,7.290824885263674,0.0071408346972790205,110.0,0.8517477681377049,0.6401290145902301,110.0,0.8673815875445334,0.3609743085668967,110.0,0.7487056540522875,0.2244350451162527,78.0,0.6831770073214856,0.23687399098632111,1
1378,0.03430247,0.027936922029227523,7.419060400272568,0.006809720405165487,110.0,0.8338971950507171,0.5321322983109757,110.0,0.8517477681377049,0.6401290145902301,110.0,0.8673815875445334,0.3609743085668967,110.0,0.7487056540522875,0.2244350451162527,1
1379,0.025471492,0.020954700044386335,9.87593929128908,0.004706810805263259,110.0,0.7658351655760287,0.5031067108824201,110.0,0.8338971950507171,0.5321322983109757,110.0,0.8517477681377049,0.6401290145902301,110.0,0.8673815875445334,0.3609743085668967,1
1380,0.02482233,0.017455098228165506,7.451029966383547,0.004136164295078247,166.0,0.7096846094895289,0.087277207088502,110.0,0.7658351655760287,0.5031067108824201,110.0,0.8338971950507171,0.5321322983109757,110.0,0.8517477681377049,0.6401290145902301,1
1381,0.044036403,0.0380714999562494,11.311389090579791,0.007441485644131712,148.0,0.6398538355455118,0.15971628200520824,166.0,0.7096846094895289,0.087277207088502,110.0,0.7658351655760287,0.5031067108824201,110.0,0.8338971950507171,0.5321322983109757,1
1382,0.049809214,0.0451337052851718,9.547008039305416,0.008325028859492828,78.0,0.7827153737553824,0.14580398339556613,148.0,0.6398538355455118,0.15971628200520824,166.0,0.7096846094895289,0.087277207088502,110.0,0.7658351655760287,0.5031067108824201,1
1383,0.035908446,0.03159395737672835,11.462931414650724,0.005871881987175745,118.00000000000001,0.7370573884353168,0.31182187766744085,78.0,0.7827153737553824,0.14580398339556613,148.0,0.6398538355455118,0.15971628200520824,166.0,0.7096846094895289,0.087277207088502,1
1384,0.028455643,0.02462987251538254,7.898400780310982,0.004393783281679683,118.00000000000001,0.8742065225070556,0.3686061661407807,118.00000000000001,0.7370573884353168,0.31182187766744085,78.0,0.7827153737553824,0.14580398339556613,148.0,0.6398538355455118,0.15971628200520824,1
1385,0.034121316,0.029840948992051804,7.497438721299326,0.004356058545410832,110.0,0.9872735336397619,0.9040759174484754,118.00000000000001,0.8742065225070556,0.3686061661407807,118.00000000000001,0.7370573884353168,0.31182187766744085,78.0,0.7827153737553824,0.14580398339556613,1
1386,0.033785082,0.028408606331158402,7.561413531484384,0.004365289255148554,110.0,0.9494429499978274,0.3954945981570822,110.0,0.9872735336397619,0.9040759174484754,118.00000000000001,0.8742065225070556,0.3686061661407807,118.00000000000001,0.7370573884353168,0.31182187766744085,1
1387,0.029058607,0.024816922976945866,7.854956839684083,0.004537814609378082,156.0,0.9346374256673883,0.5329380019853012,110.0,0.9494429499978274,0.3954945981570822,110.0,0.9872735336397619,0.9040759174484754,118.00000000000001,0.8742065225070556,0.3686061661407807,1
1388,0.026098598,0.02253455033666154,8.655661094938964,0.003735767255737922,156.0,0.9641801935309775,0.5860881837632259,156.0,0.9346374256673883,0.5329380019853012,110.0,0.9494429499978274,0.3954945981570822,110.0,0.9872735336397619,0.9040759174484754,1
1389,0.029544087,0.024865018170402126,8.77195111021503,0.0060881555741676575,154.0,0.8500941302368911,0.2713990815165804,156.0,0.9641801935309775,0.5860881837632259,156.0,0.9346374256673883,0.5329380019853012,110.0,0.9494429499978274,0.3954945981570822,1
1390,0.036400925,0.029315540073441438,7.8274187940371895,0.009253462154716887,76.0,0.6993375836345831,0.25062014457185977,154.0,0.8500941302368911,0.2713990815165804,156.0,0.9641801935309775,0.5860881837632259,156.0,0.9346374256673883,0.5329380019853012,1
1391,0.037768904,0.03054104592979087,8.09306334776907,0.009096540655563217,150.0,0.7961977221407915,0.34727101723166487,76.0,0.6993375836345831,0.25062014457185977,154.0,0.8500941302368911,0.2713990815165804,156.0,0.9641801935309775,0.5860881837632259,1
1392,0.03470167,0.029013788756650047,7.661546609303884,0.009072957055552758,76.0,0.6859131212916747,0.2039446323140725,150.0,0.7961977221407915,0.34727101723166487,76.0,0.6993375836345831,0.25062014457185977,154.0,0.8500941302368911,0.2713990815165804,1
1393,0.03275583,0.028500543573487514,7.574417847673743,0.009423175734818908,110.0,0.9590940358570165,0.7335871173180454,76.0,0.6859131212916747,0.2039446323140725,150.0,0.7961977221407915,0.34727101723166487,76.0,0.6993375836345831,0.25062014457185977,1
1394,0.0363055,0.03017071902538458,7.413537777747029,0.01015682787934691,110.0,0.9627511611946246,0.53051173221598,110.0,0.9590940358570165,0.7335871173180454,76.0,0.6859131212916747,0.2039446323140725,150.0,0.7961977221407915,0.34727101723166487,1
1395,0.03820024,0.031619152392347236,6.890684101777086,0.010546756154892981,98.0,0.9361717397745689,0.5522366965931789,110.0,0.9627511611946246,0.53051173221598,110.0,0.9590940358570165,0.7335871173180454,76.0,0.6859131212916747,0.2039446323140725,1
1396,0.036629394,0.03177981701361418,7.467773330748842,0.011085670492782492,78.0,0.8442170753405562,0.3114467503867497,98.0,0.9361717397745689,0.5522366965931789,110.0,0.9627511611946246,0.53051173221598,110.0,0.9590940358570165,0.7335871173180454,1
1397,0.03393081,0.02960528404749226,7.5520199746084575,0.011082142278673516,146.0,0.8765650648575107,0.25834404308450803,78.0,0.8442170753405562,0.3114467503867497,98.0,0.9361717397745689,0.5522366965931789,110.0,0.9627511611946246,0.53051173221598,1
1398,0.039487306,0.033182795469668236,8.31824665817027,0.01141126319692668,156.0,0.8693645056297311,0.3968569520369952,146.0,0.8765650648575107,0.25834404308450803,78.0,0.8442170753405562,0.3114467503867497,98.0,0.9361717397745689,0.5522366965931789,1
1399,0.044094548,0.03572467505596609,7.721344017807188,0.012493179887707918,78.0,0.8511681522244955,0.3345579355453588,156.0,0.8693645056297311,0.3968569520369952,146.0,0.8765650648575107,0.25834404308450803,78.0,0.8442170753405562,0.3114467503867497,1
